karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
11450320,35575330.0,4,0,0,0,3,2,0,14,0,0,0,1,0,7029,167,4,2,83064,21,175,133,1,0,0,0,1,27,15,19,49,1,16,0,9,25,14,1
2808051,65118902.0,1165,1,2283,2637,87,149,16,291,0,0,220,298,441,423377,29747,1158,1313,803819,4769,10446,1400,131,31,35,127,1250,1216,1567,1651,3395,1236,2402,449,384,1411,291,1
7025668,46247269.0,335,0,688,12,29,24,0,110,0,0,13,49,30,131424,9363,337,223,170788,461,3855,2248,20,7,14,47,167,616,290,292,2006,178,265,86,243,1021,110,1
28974945,73157670.0,13,0,69,3,6,13,0,20,0,0,1,5,36,17110,792,12,20,102942,98,128,154,2,0,0,5,19,36,35,39,129,16,59,10,14,46,18,1
1531500,6213536.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51700020,152255802.0,183,0,892,105,20,50,0,118,0,0,37,40,144,91600,5089,183,78,349594,651,1669,1442,9,1,14,23,68,458,181,186,1055,62,327,26,123,351,118,1
1094871,5277003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85663800,197802113.0,2319,9,9959,7757,550,394,22507,3601,0,0,205,315,1146,2674687,208896,2314,3887,5307318,17700,11541,7394,827,136,212,672,3539,7002,7047,7545,10885,3379,8817,1168,2544,4707,3575,1
19360735,141522850.0,636,0,1266,929,47,55,0,276,0,0,21,18,116,222370,8890,632,158,211542,755,2402,1494,18,1,21,27,91,959,371,417,1096,95,478,49,313,470,275,1
63716540,266764687.0,1262,30,3773,1381,156,365,460,1172,0,0,113,117,1055,755118,37685,1178,957,1669502,4447,7444,5361,101,30,50,128,794,2323,1983,2073,4952,814,2476,339,763,2197,1144,1
8516475,19687087.0,4,0,0,0,1,0,0,13,0,0,0,0,0,3772,318,4,2,26973,35,146,25,2,0,0,0,1,23,15,15,26,2,17,1,4,11,13,1
341579243,347894867.0,2000,30,5067,2169,233,265,6783,1328,0,0,252,104,706,1126656,41689,1989,908,3108430,5917,7759,4048,238,36,78,206,765,3059,2063,2179,4442,725,3070,328,1116,2187,1325,1
60753154,108899808.0,530,0,1435,20,28,27,0,501,0,0,0,1,0,126624,11217,531,182,183307,1443,1675,1128,52,8,24,47,129,1433,619,624,1441,116,775,54,568,831,501,1
4134560,16919005.0,409,0,2600,3404,110,9,0,1005,0,0,48,306,0,528410,41177,407,827,620231,3575,11501,3735,110,11,45,127,688,1492,1680,2049,4291,673,1737,193,427,1482,1005,1
177845930,3892620131.0,4454,17,23218,11314,577,1531,8676,4702,0,0,824,521,4578,2810641,134312,4441,1792,1825989,20458,22987,7754,603,33,300,617,1408,12340,6070,7376,13932,1341,9458,494,3281,5452,4694,1
